TagId,TagName,Area,IOType,Unit,ApplicationName,InstrumentDescription,MinimumRange,MaximumRange,Low,High,CreatedAt,UpdatedAt
LT_101,0 Mill Donnelly Chute Level ,MILL HOUSE,AI,%,Mill_House.LI_101,0 MILL DONNELLY CHUTE LEVEL ,0,100,,85,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
PI_MJH_101,Ref Juice Header Pr.,MILL HOUSE,AI,kg/cm�,Mill_House.PT_MJH_101,REFINERY JUICE HEADER Pr.,0,16,,4.5,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
PT_101,1St Mill Chest Pr.,MILL HOUSE,AI,kg/cm�,Mill_House.PT_101,1ST MILL CHEST Pr.,0,45,3,25.200000762939453,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
PT_102,2nd Mill Chest Pr.,MILL HOUSE,AI,kg/cm�,Mill_House.PT_102,2ND MILL CHEST Pr.,0,45,3.5,25.200000762939453,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
PT_103,3rd Mill Chest Pr.,MILL HOUSE,AI,kg/cm�,Mill_House.PT_103,3RD MILL CHEST Pr.,0,45,3.5,25.200000762939453,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
PT_106,Imb Water Pr.,MILL HOUSE,AI,kg/cm�,Mill_House.PT_106,Imb WATER Pr.,0,10,,4.5,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
PT_201,Ds Exhaust Pr.,DS HOUSE,AI,PSI,VRL.PT_201,DS EXHAUST Pr.,0,64,,13.5,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
PT_902,3 ATT Steam Pr.,REFINERY QUAD,AI,kg/cm�,Mill_House.PT_902,3 ATT STEAM Pr.,0,4,,0.69999998807907104,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
PT_DSJH_101,Ds Juice Header Pr.,MILL HOUSE,AI,kg/cm�,Mill_House.PT_DSJH_101,DS JUICE HEADER Pr.,0,16,,6.3000001907348633,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
PT_STM,70T Live Steam Pr.,MILL HOUSE,AI,kg/cm�,Mill_House.PT_STM,70T LIVE STEAM Pr. ,0,60,36,46.799999237060547,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
